区域,lon,lat
崇明区,121.8060947,31.47293627
崇明区,121.6217263,31.42875499
金山区,121.3824867,30.7392075
青浦区,120.9469043,31.04337516
青浦区,121.0496634,31.01925276
奉贤区,121.5352157,30.82982698
奉贤区,121.523933,30.83077594
浦东新区,121.932089,30.90278267
浦东新区,121.9331541,30.89924806
浦东新区,121.9436774,30.89712709
浦东新区,121.9339711,30.90964065
浦东新区,121.8612496,31.08958066
浦东新区,121.8660043,31.08974265
崇明区,121.8380394,31.49070657
崇明区,121.8304775,31.46822072
崇明区,121.617117,31.63665624
青浦区,121.0647807,30.97748984
青浦区,121.0650097,30.97756281
金山区,121.3357307,30.76294336
金山区,121.2051008,30.79795895
金山区,121.3596067,30.79653754
奉贤区,121.4882229,30.880266
奉贤区,121.4896771,30.95672351
奉贤区,121.4908867,30.94609312
奉贤区,121.4835702,30.97061805
金山区,121.1822085,30.90320524
金山区,121.3209843,30.84246938
松江区,121.199424,31.06789153
松江区,121.195208,31.05693291
松江区,121.1950334,31.08486945
松江区,121.2386036,31.09039244
闵行区,121.4936247,31.07170166
闵行区,121.4935735,31.07170628
青浦区,120.926953,31.03956631
青浦区,120.9255954,31.04276853
青浦区,120.950009,31.06544249
青浦区,121.018815,31.11739871
松江区,121.1683726,31.0278368
松江区,121.1677554,31.02768418
松江区,121.1749747,31.03718731
松江区,121.1758301,31.04659914
松江区,121.1614054,31.0652397
青浦区,121.054523,31.07713024
青浦区,121.0384128,31.13323933
奉贤区,121.7486443,30.88237446
奉贤区,121.5194006,30.85511286
奉贤区,121.5300924,30.89802925
奉贤区,121.5308621,30.90094761
浦东新区,121.8919522,30.89299719
浦东新区,121.8258655,30.87824155
浦东新区,121.8162079,31.14002613
浦东新区,121.8218164,31.14114058
浦东新区,121.8217057,31.14147801
浦东新区,121.6439507,31.03657775
浦东新区,121.6189281,31.04060051
浦东新区,121.6254596,31.12155453
闵行区,121.5713421,31.08460914
浦东新区,121.5749394,31.10262884
浦东新区,121.5735848,31.10273714
浦东新区,121.5298939,31.12541887
